company_name,date_posted,job_description,job_title,location,salary_estimated,salary_max,salary_min
KMS Technology,2019-01-05,"['In collaboration with architects, implement data solutions that solve business problems', 'Design conceptual, logical and physical data models', 'Implement effective and scalable end-to-end data pipeline solutions', 'Optimize SQL queries for scale', 'Build metrics and reports', 'Address functional requirements and quality attributes', 'Possess a comprehensive understanding of products and services', '2+ years of work experience', 'Understanding of dimensional and normalized database models and their applications', 'Fluency in SQL and experience in Extract, Transform, and Load (ETL) development in SQL', 'Having a programming mentality and problem-solving skills', 'Be flexible on technology', 'Learn fast', 'Experience in the Business Intelligence (BI) / Data Warehousing (DW) industry', 'IT consulting skills and experience', 'Experience with cloud based SaaS platforms', 'Experience working in professional services organization', 'Experience with columnar databases', 'Experience with Ruby', 'Experience with JavaScript', 'Experience with REST APIs', 'Interest in machine learning', 'IT Bachelor/Engineer or equivalent', 'Working in one of the Best Places to Work in Vietnam', 'Building large-scale & latest technology software products', 'Working & growing with Passionate & Talented Team', 'Attractive Salary and Benefits', 'Performance appraisal twice a year', 'Onsite opportunities: short-term and long-term assignments in U.S', 'Flexible working time', 'Various training on hot-trend technologies, best practices, and soft skills', 'Premium health care insurance for you and your loved ones', 'Company trip in every summer, big annual year-end party every year, team building, etc.', 'Fitness & sports activities: football, tennis, table-tennis, badminton, yoga, swimming', 'Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,', 'Free in-house entertainment facilities (foosball, ping pong, gym), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies)']",DATA ENGINEER,Ho Chi Minh City,,,
Trusting Social,2018-12-30,[],Research Engineer - Data Science,Ho Chi Minh City,,,
Procter & Gamble,2019-01-10,"['Keep abreast with business updates to monitor product & code changes;', 'Maintain and track status of SAP systems set up of product codes;', 'Coordinate and track other non-system requirements;', 'Update Master Tracker on time with high accuracy;', 'Understand the complexity of business and trouble-shoot to close gaps;', 'Handling the trigger of Finished Product Code conversions across multiples source to market combinations;', 'Extraction of conversion/discontinuation related information from regularly updated databases and filling out Material Master Forms;', 'Planning the full execution of the conversion and alert the stakeholders of their actions required;', 'Follow-ups on Other Pre-Requisites for Conversion Completion (Pricing/Costing/Stability);', 'Setup Material Master Data in SAP Systems.', 'Strong understanding of market specifics and customer structure;', 'Skillfulness in use of MS Excel with an exceptionally good organizational skill as the job involves plenty of tracking;', 'Able to keep up in dynamic business environment;', 'Strong English communications skill;', 'Willingness to learn and grow;', 'Be able to work independently with little supervision;', 'Be an excellent team player with a good customer service approach;', 'Be open to job rotation within the team;', 'A healthy dose of positive attitude that drives excellence;', 'You will have business responsibilities from Day 1 ? You will start of working on key brands from the beginning. Over time, as you expand your impact on the business, your responsibility and ownership of a brand will quickly grow.', ""You'll be recognized state of the art SNO skills ? We will constantly help you improve your knowledge and management abilities."", 'You will receive continuous coaching & mentorship? We are passionate about our work. We will make sure you receive both formal training and as regular mentorship from your manager and others.', 'You will work in a dynamic and respectful work environment ? We live our Purpose, Values, and Principles daily. We value every individual and encourage initiatives promoting agility and work/life balance.', 'You will work in international teams with regional or global responsibilities.', 'Flexible work arrangements.', 'Wellness programs (anti-stress massage, yoga, nutritionist, medical check up, daily healthy snacks)', 'Competitive salary and benefits program (private life & medical insurance for employees and dependants, PG stock, saving plans).', 'Regular salary revisions and possible promotions - all in line with your results, performance and potential.']",Supply Chain ? Master Data Analyst,Ho Chi Minh City,,,
VNG,2019-01-06,"['Be involved in Fintech business with ZaloPay - expected to be one of the leading e-payment products in Vietnam. Embracing BIG challenges of making ZaloPay changes the payment behavior of Vietnamese people.', 'You have opportunities to accompany with internal teams for joining full process of dealing with Zalopay?s Merchants', 'You can dance with big data, use data to tell the story of user?s behaviors in diverse industry.', 'Use statistical methods to analyze data about merchant effectiveness & merchant campaign and generate useful business report.', 'Use data to create models that depict trends in the customer base and the consumer population as a whole.', 'Performs other duties as assigned.', 'Strong knowledge of and experience with reporting packages, databases.', 'Knowledge of statistics and experience using statistical packages for analysing large datasets.', 'Strong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy.', 'Experienced in Online Payment or Banking is a BIG plus.', '?NG TUY?N', 'GI?I THI?U ?NG VI?N']","Senior Data Analyst, ZaloPay",Ho Chi Minh City,,,
Trusting Social,2019-01-04,[],Data Analyst,Ho Chi Minh City,,,
Trusting Social,2019-01-05,"['Develop scalable software that can automatically process, clean, and validate millions of data recordings to build high quality machine-learning datasets', 'Develop software for evaluating the quality of machine learning models; identifying specific failure cases to help the team focus on resolving specific errors', 'Train, evaluate, and debug machine learning models', 'Develop software to visualize machine learning models', 'Deploy optimized models for real-time inference', 'Participating in training programs in data science, statistics, optimization and machine learning', 'Occasionally traveling overseas (not more than 10% of the time)', 'This position reports to data scientists', 'BS or MS in Computer Science, Statistics, Mathematics, or related fields', 'Must be proficient in Python, bash script and query languages. Experience with other programming languages (C++, Java, Scala) is a plus', 'Must be proficient in Linux system, open source software and big data technology', 'Great communication skills', 'Desired Skills:', 'Experience with common data science toolkits, such as R, Spark is a plus', 'Deep understanding of machine learning techniques and algorithms is a plus', 'Experience with applied statistics and optimization is a plus', 'Master in CS with focus on machine learning is a plus', 'Training program in practical machine learning, predictive modeling, and deep learning by world class data scientists', 'Top market salary', 'Generous comprehensive optional health insurance package for family', 'Free premium gym membership', 'Free Grab to work', 'Housing allowance if moved closer to office', 'We aim to change the world by helping a billion unbanked consumers to get credit.', ""We take big calculated risks and move insanely fast. Our journey is that of a rocket launching and high-speed global expansion. It's not for the faint-hearted."", 'We only recruit the top 1% of each field, and let them figure out their roles, contributions, and meanings themselves.', 'We expect each member to devote their hearts and minds to the common cause.', ""As for Data Science team, we seek the God's view of the entire economies.""]",Machine Learning Engineer - Data Science,Ho Chi Minh City,,,
Trusting Social,2019-01-01,[],Big Data Engineer,Ho Chi Minh City,,,
Arimo,2019-01-16,"['Work side by side with our Data Science team to build and automate data pipeline, data ETL, etc. on distributed data processing platform such as Spark.', 'Process big data from Parquet/S3 to Tensorflow without CSV/TFRecords', 'Prepare data inputs for a generic blueprint ""model builder""', 'Build model serving for Keras / PyTorch', 'Build production data pipeline for daily ETL and model retraining', 'End-to-end data processing, troubleshooting, and problem diagnosis.', '3+ years of experience working with large-scale datasets.', 'Solid experience in Spark and its ecosystems (Hadoop, Mesos, YARN, etc.)', 'Expertise in SQL scripting, data warehousing, and ETL development.', 'Proficiency in programming languages like Java, Scala, Python, etc.', 'Open-minded and excited to learn new things. Have strong opinions but willing to change with new data.', 'Minimum BS degree in CS or related discipline, MS/ Ph.D. preferred.']",Data Engineer,Ho Chi Minh City,,,
Zalora,2018-12-27,"['Work daily with machine learning problems. For this purpose, you are expected to be involved in the process of collecting, storing, processing, and analyzing data generated from our database, in addition to joining our data scientists in the design of machine learning models.', 'Work in a diverse, international setting with teammates who are experts in various topics. We often conduct workshops to improve our individual skill sets, and to improve our workflow as a team. The role is based in our Vietnam office.', 'Bachelor or Master degree in Computer Science or related technical discipline', 'Fresh graduates with high graduation scores are welcome to apply', 'Data structures & algorithms', 'Basic machine learning algorithms', 'Any of the following languages: R, Python, Java', 'Any of the following databases: MySQL, NoSQL, MongoDB, HBase, Cassandra', 'Object oriented design and design patterns', 'Large-scale distributed system systems', 'Hadoop or Spark framework', 'Optional: having the following skills is a plus', 'Good background in statistics', 'Knowledge in data analysis, data mining, or machine learning', 'Experience in working with big data']",Data Engineer (Machine Learning),Ho Chi Minh City,,,
Citibank,2019-01-04,[],Decision Management Business Analytics Manager,Ho Chi Minh City,,,
Trusting Social,2018-12-27,[],Head of Data Analytics,Ho Chi Minh City,,,
